xe,rhoe,ue,pe,ee,Me,se
0,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.002,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.004,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.006,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.008,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.01,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.012,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.014,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.016,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.018,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.02,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.022,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.024,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.026,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.028,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.03,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.032,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.034,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.036,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.038,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.04,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.042,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.044,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.046,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.048,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.05,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.052,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.054,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.056,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.058,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.06,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.062,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.064,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.066,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.068,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.07,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.072,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.074,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.076,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.078,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.08,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.082,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.084,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.086,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.088,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.09,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.092,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.094,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.096,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.098,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.1,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.102,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.104,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.106,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.108,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.11,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.112,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.114,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.116,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.118,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.12,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.122,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.124,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.126,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.128,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.13,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.132,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.134,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.136,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.138,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.14,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.142,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.144,3.857,0.92,10.333,6.6976,0.47505,0.4455
